"EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,EnvironmentSatisfaction,Attrition"
"1,34,Sales,Sales Executive,5000,5,Yes,3,4,No"
"2,28,Research & Development,Research Scientist,4500,2,No,4,3,No"
"3,41,Sales,Manager,9000,10,Yes,2,2,Yes"
"4,26,Human Resources,HR Specialist,4000,1,No,4,3,No"
"5,37,Research & Development,Laboratory Technician,4200,6,Yes,3,2,Yes"
"6,45,Sales,Sales Executive,7000,12,No,2,3,No"
"7,31,Research & Development,Research Scientist,4800,3,No,4,4,No"
"8,29,Sales,Sales Executive,5100,2,Yes,3,2,Yes"
"9,36,Research & Development,Manager,8500,8,No,2,3,No"
"10,25,Human Resources,HR Specialist,3900,1,No,4,4,No"
"11,30,Research & Development,Laboratory Technician,4300,4,Yes,3,3,Yes"
"12,38,Sales,Manager,8800,9,Yes,2,2,Yes"
"13,27,Research & Development,Research Scientist,4600,2,No,4,4,No"
"14,42,Sales,Sales Executive,7200,11,Yes,2,2,Yes"
"15,33,Human Resources,HR Specialist,4100,5,No,3,3,No"
"16,35,Research & Development,Laboratory Technician,4400,6,Yes,3,3,Yes"
"17,29,Sales,Sales Executive,5200,3,No,4,4,No"
"18,39,Research & Development,Manager,8700,9,Yes,2,2,Yes"
"19,31,Human Resources,HR Specialist,4000,3,No,3,3,No"
"20,28,Sales,Sales Executive,5000,2,Yes,3,2,Yes"
